agency.agencyEmail,agency.agencyId,agency.agencyName,agency.agencyPhone,agency.agencyTimezone,agency.agencyType,agency.agencyUrl,endStop,hasPaths,isValid,routeDepot,routeDepotList,routeId,routeLongName,routeShortName,routeType,skipCount,startStop
,8,CTC,,Asia/Kolkata,PASSENGER_TRANSPORT,,HOWRAH STATION,True,Y,,['OTHER'],6014,SHYAMNAGAR  - HOWRAH,C50:UP,3,0,SHYAMNAGAR STN
,7,Kolkata RTA,,Asia/Kolkata,PASSENGER_TRANSPORT,,BABUGHAT,True,Y,,['OTHER'],5634,MADHYAMGRAM CHOWMATHA - BABUGHAT,30:DN,3,0,MADHYAMGRAM CHOWMATHA
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,JADAVPUR UNIVERSITY (8B BUS STAND),True,Y,OTHER,['OTHER'],5849,SECH  BHAVAN - JADAVPUR UNIVERSITY (8B BUS STAND),S170:DN,3,0,SECH  BHAVAN
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,SANTRAGACHI,True,Y,OTHER,['OTHER'],40,THAKURPUKUR (3A) - SANTRAGACHI,S42:UP,3,0,THAKURPUKUR (3A)
,8,CTC,,Asia/Kolkata,PASSENGER_TRANSPORT,,AMTALA,True,Y,KHIDDERPUR,"['JOKA', 'KHIDDERPUR']",5399,HOWRAH STATION - AMTALA,C37:UP,3,0,HOWRAH
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,JADAVPUR UNIVERSITY (8B BUS STAND),True,Y,OTHER,['OTHER'],379,KARUNAMOYEE (SALT LAKE) - JADAVPUR UNIVERSITY (8B BUS STAND),AC9:DN,3,0,KARUNAMOYEE (SALT LAKE)
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,ALIPORE ZOO,True,Y,OTHER,['OTHER'],5879,AQUATICA (NEW TOWN) - ALIPORE ZOO,260:DN,3,0,AQUATICA
,7,Kolkata RTA,,Asia/Kolkata,PASSENGER_TRANSPORT,,SEALDAH (BR SINGH HOSPITAL),True,Y,,['OTHER'],5651,PARNASREE - SEALDAH (BR SINGH HOSPITAL),13:UP,3,0,PARNASREE
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,BBD BAG,True,Y,OTHER,['OTHER'],5840,LAKE TOWN - BBD BAG,S153:UP,3,0,LAKE TOWN
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,ESPLANADE (WBTC BUS STAND),True,Y,OTHER,['OTHER'],6112,MAYAPUR - ESPLANADE,E38:DN,3,0,MAYAPUR (NADIA)
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,THAKURPUKUR (3A),True,Y,OTHER,['OTHER'],5579,BABUGHAT / BAND STAND - THAKURPUKUR (3A),40B:DN,3,0,BABUGHAT / BAND STAND
,7,Kolkata RTA,,Asia/Kolkata,PASSENGER_TRANSPORT,,CHOWBHAGA,True,Y,,['OTHER'],5645,HOWRAH MAIDAN - CHOWBHAGA,24B:DN,3,0,HOWRAH MAIDAN
,8,CTC,,Asia/Kolkata,PASSENGER_TRANSPORT,,SREERAMPUR  BUS STAND,True,Y,,['OTHER'],5975,SHYAMBAZAR - SERAMPORE,D4/1:UP,3,0,SHYAMBAZAR
,7,Kolkata RTA,,Asia/Kolkata,PASSENGER_TRANSPORT,,BARASAT BUS STAND,True,Y,,['OTHER'],6135,B GARDEN-BARASAT,BGN:DN,3,0,MANDIRTALA
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,LAUHATI,True,Y,OTHER,['OTHER'],6234,SHYAMBAZAR -  LAUHATI,91C:UP,3,0,SHYAMBAZAR
,8,CTC,,Asia/Kolkata,PASSENGER_TRANSPORT,,ESPLANADE (WBTC BUS STAND),True,Y,OTHER,['OTHER'],5367,TOLLYGUNGE (METRO) - ESPLANADE (WBTC BUS STAND),RT29:UP,0,0,TOLLYGUNGE (METRO)
,8,CTC,,Asia/Kolkata,PASSENGER_TRANSPORT,,KARIMPUR WBTC BUS STAND,True,Y,BELGACHIA,['BELGACHIA'],5420,ESPLANADE (WBTC BUS STAND) - KARIMPUR,E22:UP,3,0,ESPLANADE (WBTC BUS STAND)
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,MUCHIPARA,True,Y,OTHER,['OTHER'],5886,HOWRAH STATION-CHETLA CHAKIPARA,18A/1:DN,3,0,HOWRAH STATION
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,HARINAVI,True,Y,OTHER,['OTHER'],5760,BBD BAG - HARINAVI,S113:DN,3,0,BBD BAG
,7,Kolkata RTA,,Asia/Kolkata,PASSENGER_TRANSPORT,,KARUNAMOYEE (SALT LAKE),True,Y,,['OTHER'],6022,DANKUNI  HOUSING - KARUNAMOYEE,D12:DN,3,0,DANKUNI HOUSING
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,GARIA BUS STAND,True,Y,OTHER,['OTHER'],5223,BARASAT (CHAPADALI) - GARIA BUS STAND,IDE1:DN,3,0,BARASAT (CHAPADALI)
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,RAJABAGAN,True,Y,OTHER,['OTHER'],321,HOWRAH STATION - RAJABAGAN,O19A:DN,3,0,HOWRAH STATION
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,AKRA BAZAR,True,Y,OTHER,['OTHER'],5883,HOWRAH F.S. STN.- AKRABAZAR,259:DN,3,0,HOWRAH FIRE STATION
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,BABUGHAT / BAND STAND,True,Y,OTHER,['OTHER'],5603,MADHYAMGRAM CHOWMATHA - BABUGHAT / BAND STAND,79D:DN,3,0,MADHYAMGRAM CHOWMATHA
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,DHAKURIA,True,Y,OTHER,['OTHER'],5597,LAKE TOWN (JESSORE ROAD) - DHAKURIA,47A:DN,3,0,LAKE TOWN (JESSORE ROAD)
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,KUNDGHAT,True,Y,LAKE,['LAKE'],393,AIRPORT (GATE NO.3) - KUNDGHAT,AC51:DN,3,0,AIRPORT (GATE NO.3)
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,HOWRAH STATION,True,Y,,['OTHER'],5867,BARASAT - HOWRAH STATION,L238:DN,3,0,BARASAT BUS STAND
,8,CTC,,Asia/Kolkata,PASSENGER_TRANSPORT,,ESPLANADE (KC DAS),True,Y,OTHER,['OTHER'],5347,ULTADANGA - ESPLANADE (KC DAS),RT17:UP,0,0,BIDHANNAGAR RLY STN
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,CHETLA,True,Y,OTHER,['OTHER'],453,HOWRAH STATION - CHETLA,17:DN,3,0,HOWRAH STATION
,8,CTC,,Asia/Kolkata,PASSENGER_TRANSPORT,,RAJA BAZAR TRAM DEPOT,True,Y,,['OTHER'],6004,FURFURASARIF TO RAJABAZAR (ESP),E14:DN,3,0,FURFURA SHARIF
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,AKRA RABINDRANAGAR STAND,True,Y,OTHER,['OTHER'],4753,KARUNAMOYEE (SALT LAKE) - AKRA RABINDRANAGAR STAND,S46:DN,3,0,KARUNAMOYEE (SALT LAKE)
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,SHIBTALA MATH,True,Y,OTHER,['OTHER'],5294,HOWRAH STATION - SHIBTALA MATH,M24:UP,3,0,HOWRAH STATION
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,AIRPORT (GATE NO.1),True,Y,OTHER,['OTHER'],5673,HOWRAH STATION - AIRPORT (GATE NO.1),30B/1:UP,3,0,HOWRAH STATION
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,ECOSPACE,True,Y,OTHER,['OTHER'],5245,KAMALGAZI - ECOSPACE,S9C:UP,3,0,KAMALGAZI
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,1B BUS STAND / SRINAGAR MAIN RD,True,Y,OTHER,['OTHER'],5563,RAMNAGAR - 1B BUS STAND / SRINAGAR MAIN RD,1B:DN,3,0,ASBESTOS MORE (ITC)
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,GARIA,True,Y,OTHER,['OTHER'],334,KARUNAMOYEE (SALT LAKE) - GARIA,S14:DN,3,0,KARUNAMOYEE (SALT LAKE)
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,SARSUNA COLLEGE,True,Y,OTHER,['OTHER'],5311,NAZRUL TIRTHA (NEW TOWN) - SARSUNA COLLEGE,3A/2:DN,3,0,NAZRUL TIRTHA (NEW TOWN)
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,NABANNA (TOLL GATE),True,Y,OTHER,['OTHER'],5316,CANEL WEST RD. BUS STAND - NABANNA (TOLL GATE),MX2:DN,3,0,CANEL WEST RD. BUS STAND
,9,WBSTC,,Asia/Kolkata,PASSENGER_TRANSPORT,,NAMKHANA,True,Y,,['OTHER'],6251,ESPLANADE - NAMKHANA,ST28:DN,3,0,ESPLANADE (WBTC BUS STAND)
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,BBD BAG,True,Y,OTHER,['OTHER'],5785,JODHPUR PARK - BBD BAG,S104:UP,3,0,JODHPUR PARK
,8,CTC,,Asia/Kolkata,PASSENGER_TRANSPORT,,AIRPORT (GATE NO.1),True,Y,,['OTHER'],6125,KARUNAMOYEE - AIRPORT,ACT4/S:DN,3,0,KARUNAMOYEE (SALT LAKE)
,7,Kolkata RTA,,Asia/Kolkata,PASSENGER_TRANSPORT,,HOWRAH STATION,True,Y,,['OTHER'],5556,PAILAN - HOWRAH STATION,12C:UP,3,0,PAILAN
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,ALIPORE ZOO,True,Y,,['OTHER'],6270,HOWRAH STN - ALIPORE ZOO,WS2:DN,3,0,HOWRAH
,7,Kolkata RTA,,Asia/Kolkata,PASSENGER_TRANSPORT,,HOWRAH FIRE STATION,True,Y,,['OTHER'],5792,LAKE TOWN - HOWRAH FIRE STATION,215:DN,3,0,LAKE TOWN
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,SEALDAH,True,Y,,['OTHER'],6293,KARUNAMOYEE - SEALDAH,BFSP1:DN,3,0,KARUNAMOYEE (SALT LAKE)
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,GARIA BUS STAND,True,Y,OTHER,['OTHER'],5222,AIRPORT (GATE NO.1) - GARIA BUS STAND,AC37C:DN,3,0,AIRPORT (GATE NO.1)
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,CHOWBHAGA,True,Y,OTHER,['OTHER'],5831,HOWRAH FIRE STATION - CHOWBHAGA,S125:DN,3,0,HOWRAH FIRE STATION
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,B N R OFFICE COLONY,True,Y,OTHER,['OTHER'],5890, BANGUR AVN - BNR GARDEN REACH ,227:DN,3,0,BANGUR (JESSORE ROAD)
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,AIRPORT (GATE NO.1),True,Y,OTHER,['OTHER'],5582,PATULI - AIRPORT (GATE NO.1),45:UP,3,0,PATULI
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,DAKSHINESWAR,True,Y,OTHER,['OTHER'],5450,HOWRAH MAIDAN - DAKSHINESWAR,AC34:UP,3,0,HOWRAH MAIDAN
,8,CTC,,Asia/Kolkata,PASSENGER_TRANSPORT,,BARASAT (CHAPADALI),True,Y,,['OTHER'],6107,KALYANI - BARASAT,E26:DN,3,0,KALYANI BUS TERMINUS
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,HATIARA 30C BUS STAND,True,Y,OTHER,['OTHER'],5674,BABUGHAT / BAND STAND - HATIARA 30C BUS STAND,30C:UP,3,0,BABUGHAT / BAND STAND
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,PARNASREE,True,Y,OTHER,['OTHER'],5234,SALT LAKE DEPOT - PARNASREE,S4:DN,3,0,SALT LAKE DEPOT
,9,WBSTC,,Asia/Kolkata,PASSENGER_TRANSPORT,,BELUR MATH FERRY GHAT,True,Y,,['OTHER'],6288,KUTHI GHAT (BARANAGAR) - BELUR MATH FERRY GHAT,MV06:DN,3,0,KUTHI GHAT (BARANAGAR)
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,HOWRAH STATION,True,Y,OTHER,['OTHER'],5802,KASBA  RATHTALA  MORE - HOWRAH STATION,S108:UP,3,0,KASBA  RATHTALA  MORE
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,NAYABAD,True,Y,GARIA,['GARIA'],359,HOWRAH STATION - NAYABAD,S5C:DN,3,0,HOWRAH STATION
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,GARIAHAT,True,Y,,['OTHER'],6052,HOWRAH STATION - GARIAHAT,PSP7:DN,3,0,HOWRAH
,8,CTC,,Asia/Kolkata,PASSENGER_TRANSPORT,,NEW DIGHA CENTRAL BUS STAND,True,Y,BELGACHIA,['OTHER'],5896,BELGACHIA  - DIGHA  ( VIA ESPLANADE ),E19D:UP,3,0,BELGACHIA TRAM DEPOT
,9,WBSTC,,Asia/Kolkata,PASSENGER_TRANSPORT,,BANTALA (IT PARK),True,Y,OTHER,['OTHER'],5301,AIRPORT (GATE NO.1) - BANTALA (IT PARK),MW7B:DN,3,0,AIRPORT (GATE NO.1)
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,BAGDA,True,Y,OTHER,['OTHER'],6075,BARASAT - BAGDA,D7:UP,3,0,BARASAT BUS STAND
,8,CTC,,Asia/Kolkata,PASSENGER_TRANSPORT,,CHAITALGHAT,True,Y,OTHER,['OTHER'],6033,HOWRAH STATION - MALANCHA,T12:UP,3,0,HOWRAH
,7,Kolkata RTA,,Asia/Kolkata,PASSENGER_TRANSPORT,,ESPLANADE (WBTC BUS STAND),True,Y,,['OTHER'],6181,BARRACKPUR  - ESPLANADE,78:DN,3,0,BARRACKPORE
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,BIDHANNAGAR RLY STN,True,Y,MANIKTALA,['MANIKTALA'],34,AMITY UNIVERSITY - ULTADANGA,S30:UP,3,0,AMITY UNIVERSITY
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,BABUGHAT / BAND STAND,True,Y,OTHER,['OTHER'],5851,NEW BARRACKPORE STATION - BABUGHAT / BAND STAND,S182:DN,3,0,NEW BARRACKPORE STATION
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,KARUNAMOYEE (SALT LAKE),True,Y,,['OTHER'],5727,BKP COURT - KARUNAMOYEE (SALT LAKE),S58:DN,3,0,BKP COURT
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,SANTRAGACHI,True,Y,OTHER,['OTHER'],151,AIRPORT (GATE NO.3) - SANTRAGACHI,V2:UP,3,0,AIRPORT (GATE NO.3)
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,PHOOLBAGAN,True,Y,OTHER,['OTHER'],6178,HOWRAH - PHOOL BAGAN,S165:UP,3,0,HOWRAH STATION
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,NEW DIGHA CENTRAL BUS STAND,True,Y,OTHER,['OTHER'],5902,SREERAMPORE -DIGHA,E54:UP,3,0,SREERAMPUR  BUS STAND
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,GARIA BUS STAND,True,Y,,['OTHER'],5737,HOWRAH STATION - GARIA BUS STAND,NS5:DN,3,0,HOWRAH STATION
,8,CTC,,Asia/Kolkata,PASSENGER_TRANSPORT,,RAJABAZAR,True,Y,OTHER,['OTHER'],417,NABANNA (TOLL GATE) - RAJABAZAR,NB1:DN,3,0,PTS
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,SARSUNA,True,Y,OTHER,['OTHER'],5630,HOWRAH STATION - SARSUNA,18D:DN,3,0,HOWRAH STATION
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,HOWRAH STATION,True,Y,OTHER,['OTHER'],51,BAGPOTA - HOWRAH STATION,M7E:UP,3,0,BAGPOTA
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,HOWRAH STATION,True,Y,OTHER,['OTHER'],5,DUM DUM - HOWRAH STATION,11A:UP,3,0,DUMDUM RLY STN
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,AIRPORT (GATE NO.1),True,Y,PAIKPARA,['PAIKPARA'],328,NABANNA (TOLL GATE) - AIRPORT (GATE NO.1),S10:UP,3,0,NABANNA (TOLL GATE)
,8,CTC,,Asia/Kolkata,PASSENGER_TRANSPORT,,BARASAT BUS STAND,True,Y,OTHER,['OTHER'],5907,BARACKPORE COURT-BARASAT,C29:DN,3,0,BARRACKPORE COURT
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,HOWRAH STATION,True,Y,TARATALA,['TARATALA'],366,BEHALA AIRPORT - HOWRAH STATION,S47A:UP,3,0,BEHALA AIRPORT
,8,CTC,,Asia/Kolkata,PASSENGER_TRANSPORT,,BELGACHIA,True,Y,OTHER,['OTHER'],5358,ESPLANADE (WBTC BUS STAND) - BELGACHIA,RT1:DN,0,0,ESPLANADE (WBTC BUS STAND)
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,GARIA,True,Y,GARIA,['GARIA'],55,EDEN CITY - GARIA,S51:DN,3,0,EDEN CITY
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,GOLF GREEN,True,Y,OTHER,['OTHER'],5697,BAGBAZAR  - GOLF GREEN,240:DN,3,0,BAGBAZAR 
,8,CTC,,Asia/Kolkata,PASSENGER_TRANSPORT,,ESPLANADE (WBTC BUS STAND),True,Y,,['OTHER'],6038,DHAMAKHALI - ESPLANADE ( BABUGHAT),E18:DN,3,0,DHAMAKHALI BUS STAND
,9,WBSTC,,Asia/Kolkata,PASSENGER_TRANSPORT,,NANDIGRAM BUS STOP,True,Y,,['OTHER'],6255,ESPLANADE - NANDIGRAM ,ACS1:DN,3,0,ESPLANADE (WBTC BUS STAND)
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,BABUGHAT / BAND STAND,True,Y,OTHER,['OTHER'],5793,MAYUKH BHAVAN - BABUGHAT / BAND STAND,239:DN,3,0,MAYUKH BHAVAN
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,BANSHDRONI,True,Y,OTHER,['OTHER'],5565,BABUGHAT / BAND STAND - BANSHDRONI,205A/1:DN,3,0,BABUGHAT / BAND STAND
,9,WBSTC,,Asia/Kolkata,PASSENGER_TRANSPORT,,BANTALA IT PARK,True,Y,,['OTHER'],5438,SCIENCE CITY - BANTALA IT PARK,MW7:UP,3,0,SCIENCE CITY XING
,9,WBSTC,,Asia/Kolkata,PASSENGER_TRANSPORT,,BARASAT BUS STAND,True,Y,,['OTHER'],6146,SANTRAGACHI - BARASAT (VIA BAGUIHATI)                 ,ACT3:DN,3,0,SANTRAGACHI
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,DUMDUM PARK,True,Y,OTHER,['OTHER'],5244,DUMDUM PARK - DUMDUM PARK,S30D:CR,3,0,DUMDUM PARK
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,JOKA,True,Y,HOWRAH,['HOWRAH'],384,HOWRAH STATION - JOKA,AC12D:DN,3,0,HOWRAH STATION
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,DAHIGHAT,True,Y,OTHER,['OTHER'],314,RAJABAZAR - DAHIGHAT,3:DN,3,0,RAJABAZAR
,9,WBSTC,,Asia/Kolkata,PASSENGER_TRANSPORT,,NAMKHANA,True,Y,OTHER,['OTHER'],5342,DIGHA - NAMKHANA,ST21:DN,3,0,DIGHA
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,HOWRAH STATION,True,Y,OTHER,['OTHER'],146,BAGHAJATIN - HOWRAH STATION,17B:UP,3,0,BAGHAJATIN
,8,CTC,,Asia/Kolkata,PASSENGER_TRANSPORT,,MUNSHIRHAT,True,Y,OTHER,['OTHER'],5999,HOWRAH STATION - MUNSHIRHAT,C11/1:UP,3,0,HOWRAH STATION
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,HOWRAH,True,Y,OTHER,['OTHER'],5813,HOWRAH FIRE STATION - HOWRAH,S121:DN,3,0,HOWRAH FIRE STATION
,8,CTC,,Asia/Kolkata,PASSENGER_TRANSPORT,,ESPLANADE (WBTC BUS STAND),True,Y,BELGACHIA,['BELGACHIA'],5380,SURI BUS STAND - ESPLANADE (WBTC BUS STAND),ACT13:DN,3,0,SURI BUS STAND
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,RUBY,True,Y,OTHER,['OTHER'],5764,B. GARDEN NEW GATE - RUBY,K7:DN,3,0,B. GARDEN NEW GATE
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,HOWRAH STATION,True,Y,OTHER,['OTHER'],422,BARASAT (CHAPADALI) - HOWRAH STATION,AC2:DN,3,0,BARASAT (CHAPADALI)
,7,Kolkata RTA,,Asia/Kolkata,PASSENGER_TRANSPORT,,Tipu Sultan Mosque,True,Y,,['OTHER'],5863,NIMTALA GHAT - Tipu Sultan Mosque,137:DN,3,0,NIMTALA GHAT
,7,Kolkata RTA,,Asia/Kolkata,PASSENGER_TRANSPORT,,GARIA STATION,True,Y,,['OTHER'],5443,BBD BAG - GARIA STATION,101:DN,3,0,BBD BAG
,8,CTC,,Asia/Kolkata,PASSENGER_TRANSPORT,,TOLLYGUNGE (METRO),True,Y,,['OTHER'],6169,THAKURPUKUR 3A - TOLLYGUNGE METRO STATION,M16A:UP,3,0,THAKURPUKUR (3A)
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,RAJA BAZAR TRAM DEPOT,True,Y,OTHER,['OTHER'],5915,SANKRAIL TO RAJABAZAR,C30:DN,3,0,BHARAT CO-OPERATIVE
cstc@email.com,1,CSTC,8798089899,Asia/Kolkata,PASSENGER_TRANSPORT,http://cstc.org,NILGUNGE BUS DEPOT,True,Y,OTHER,['OTHER'],4779,HOWRAH STATION - NILGUNGE DEPOT,AC10:UP,3,0,HOWRAH
